Description	CCS Group	ICD9	CCS
Carcinoma in situ of cervix uteri	Other therapeutic ear procedures	2331	026
Carcinoma in situ of other and unspecified parts of uterus	Diagnostic procedures on ear	2332	025
ca in situ fem gen nec	Plastic procedures on nose	2333	028
Carcinoma in situ of prostate	Oral and Dental Services	2334	029
LAPAROSCOP INCID APPEND (Begin 1996)	Cesarean section	4711	134
Carcinoma in situ of other and unspecified male genital organs	Diagnostic procedures on nose, mouth and phar	2336	031
Carcinoma in situ of bladder	Other non-OR therapeutic procedures on nose,	2337	032
Other disorders of neurohypophysis	Endarterectomy, vessel of head and neck	2536	051
Other polyp of sinus	Cesarean section	4718	134
gemfibrozil	Cesarean section	4719	134
Iatrogenic pituitary disorders	Endarterectomy, vessel of head and neck	2537	051
Unspecified viral hepatitis without mention of hepatic coma	Decompression peripheral nerve	0709	006
Other anterior pituitary disorders	Endarterectomy, vessel of head and neck	2534	051
Viral hepatitis - Viral hepatitis B without mention of hepatic coma	Decompression peripheral nerve	0703	006
Cerebral embolism with cerebral infarction	Procedures on the urethra	43411	109
ADRENAL EXPLORATION NOS	Diagnostic endocrine procedures	0700	011
Viral hepatitis - Other specified viral hepatitis without mention of hepatic coma	Decompression peripheral nerve	0705	006
Pneumonia due to other Streptococcus	Removal of ectopic pregnancy	48239	122
Open fracture of subtrochanteric section of neck of femur	Other diagnostic radiology and related techni	82032	226
Unspecified corneal disorder	Peritoneal dialysis	3719	091
Glycogenosis	Hemodialysis	2710	058
Asphyxia	Gastric bypass and volume reduction	79901	244
Hypoxemia	Gastric bypass and volume reduction	79902	244
Child neglect (nutritional)	Gastric bypass and volume reduction	99552	244
Other chronic hepatitis	Decompression peripheral nerve	57149	006
Chronic hepatitis, unspecified	Decompression peripheral nerve	57140	006
Chronic persistent hepatitis	Decompression peripheral nerve	57141	006
Autoimmune hepatitis	Decompression peripheral nerve	57142	006
Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)	Other OR therapeutic procedures on musculoske	60021	164
Benign localized hyperplasia of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS)	Other OR therapeutic procedures on musculoske	60020	164
Room & Board - Semi-private Two Bed(Medical or General) - Other	Other non-OR or closed therapeutic nervous sy	129	008
Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction	Fetal monitoring	53391	139
MID FORCEPS W EPISIOTOMY	Forceps, vacuum, and breech delivery	7221	135
Idiopathic cysts of iris, ciliary body, and anterior chamber	Other therapeutic obstetrical procedures	36460	141
Chronic Eustachian salpingitis	Other bowel diagnostic procedures	38152	092
OP RED-TIBIA/FIB EPIPHYS	Treatment, fracture or dislocation of lower e	7956	147
Spontaneous abortion, with unspecified complication, complete	Computerized axial tomography (CT) scan head	63482	177
Spontaneous abortion, with unspecified complication, unspecified	Computerized axial tomography (CT) scan head	63480	177
Other nonspecific abnormal histological findings	Residual codes; unclassified	7954	259
Closed fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness	Laboratory - Chemistry and Hematology	80130	233
OP RED-RADIUS/ULN EPIPHY	Other respiratory therapy	7952	217
Diverticulitis of colon (without mention of hemorrhage)	Treatment, fracture or dislocation of hip and	56211	146
OPEN RED-SEP EPIPHY NOS	Other fracture and dislocation procedure	7950	148
Other iatrogenic hypotension	Complications of surgical procedures or medical care	45829	238
PARASITOLOGY-INTEGUMENT	Superficial injury; contusion	9164	239
Drainage of perineal urinary extravasation; uncomplicated (separate procedure)	Other OR therapeutic procedures of urinary tr	53080	112
Acute myeloid leukemia, in relapse	Incision of pleura, thoracentesis, chest drai	20502	039
Acute myeloid leukemia, without mention of having achieved remission	Injections and aspirations of muscles, tendon	20500	156
Acute myeloid leukemia, in remission	Other diagnostic procedures on musculoskeleta	20501	159
Disorders of sacrum	Arterial blood gases	7246	205
Backache, unspecified	Arterial blood gases	7245	205
nandrolone	Arterial blood gases	7244	205
naltrexone	Arterial blood gases	7243	205
naloxone	Arterial blood gases	7242	205
Pain in thoracic spine	Arterial blood gases	7241	205
Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection	Superficial injury; contusion	9160	239
Bone marrow replaced by transplant	Residual codes; unclassified	V4281	259
delavirdine	Conversion of cardiac rhythm	83816	225
Other unspecified back disorders	Arterial blood gases	7249	205
BACT SMEAR-INTEGUMENT	Superficial injury; contusion	9161	239
Personal history of certain other diseases - Diseases of digestive system	Arthrocentesis	V127	155
hx-respiratory sys dis	Other lower respiratory disease	V126	133
CULTURE-INTEGUMENT	Superficial injury; contusion	9162	239
Personal history of diseases of blood and blood-forming organs	Bone marrow transplant	V123	064
Personal history of endocrine, metabolic, and immunity disorders	Hemodialysis	V122	058
Cellulitis and abscess of face	Other diagnostic ultrasound	6820	197
ENDOMET SYNECHIAE DIVIS	Other diagnostic ultrasound	6821	197
INCISION UTERINE SEPTUM	Other diagnostic ultrasound	6822	197
ENDOMETRIAL ABLATION (Begin 1996)	Other diagnostic ultrasound	6823	197
Uterine art emb w coils (Begin 2011)	Other diagnostic ultrasound	6824	197
Uterine art emb w/o coil (Begin 2011)	Other diagnostic ultrasound	6825	197
methazolamide	Other diagnostic ultrasound	6826	197
Cellulitis and abscess of foot, except toes	Other diagnostic ultrasound	6827	197
Cellulitis and abscess of other specified sites	Other diagnostic ultrasound	6828	197
UTERINE LES DESTRUCT NEC	Other diagnostic ultrasound	6829	197
Complications of other specified transplanted organ	Ancillary Services	99689	237
Complications of transplanted bone marrow	Ancillary Services	99685	237
Complications of transplanted lung	Ancillary Services	99684	237
Complications of transplanted pancreas	Ancillary Services	99686	237
Complications of transplanted kidney	Ancillary Services	99681	237
Complications of transplanted organ, unspecified	Ancillary Services	99680	237
Complications of transplanted heart	Ancillary Services	99683	237
Complications of transplanted liver	Ancillary Services	99682	237
Edema of eyelid	Peritoneal dialysis	37482	091
Hemorrhage of eyelid	Peritoneal dialysis	37481	091
Dermatochalasis	Peritoneal dialysis	37487	091
Retained foreign body of eyelid	Peritoneal dialysis	37486	091
Vascular anomalies of eyelid	Peritoneal dialysis	37485	091
Cysts of eyelids	Peritoneal dialysis	37484	091
Discoid lupus erythematosus of eyelid	Excision, lysis peritoneal adhesions	37334	090
Other disorders of eyelid	Peritoneal dialysis	37489	091
Eczematous dermatitis of eyelid	Excision, lysis peritoneal adhesions	37331	090
Contact and allergic dermatitis of eyelid	Excision, lysis peritoneal adhesions	37332	090
Open wound of other and unspecified parts of neck, without mention of complication	Other Laboratory	8748	235
ROUTINE CHEST X-RAY	Other Laboratory	8744	235
Acute alcoholic intoxication in alcoholism, unspecified	Nonoperative removal of foreign body	30300	229
Disorders relating to short gestation and low birthweight - Extreme immaturity	Short gestation; low birth weight; and fetal growth retardation	7650	219
Disorders relating to short gestation and low birthweight - Other preterm infants	Short gestation; low birth weight; and fetal growth retardation	7651	219
Calculus of bile duct with acute cholecystitis, without mention of obstruction	Arthroscopy	57430	149
Calculus of bile duct with acute cholecystitis, with obstruction	Arthroscopy	57431	149
Foreign body in digestive system, unspecified	Gastric bypass and volume reduction	938	244
Streptococcal septicemia	Insertion, replacement, or removal of extracr	0380	002
Hereditary corneal dystrophy, unspecified	Peritoneal dialysis	37150	091
Granular corneal dystrophy	Peritoneal dialysis	37153	091
Other anterior corneal dystrophies	Peritoneal dialysis	37152	091
Macular corneal dystrophy	Peritoneal dialysis	37155	091
Hypertrophy of adenoids alone	Hysterectomy, abdominal and vaginal	47412	124
Endothelial corneal dystrophy	Peritoneal dialysis	37157	091
Hypertrophy of tonsil with adenoids	Hysterectomy, abdominal and vaginal	47410	124
Closed dislocation of acromioclavicular (joint)	Conversion of cardiac rhythm	83104	225
Closed anterior dislocation of humerus	Conversion of cardiac rhythm	83101	225
Closed dislocation of shoulder, unspecified	Conversion of cardiac rhythm	83100	225
Closed inferior dislocation of humerus	Conversion of cardiac rhythm	83103	225
Closed posterior dislocation of humerus	Conversion of cardiac rhythm	83102	225
Closed dislocation of shoulder, other	Conversion of cardiac rhythm	83109	225
Fitting and adjustment, other device	Other aftercare	V5399	257
Injury to multiple nerves of pelvic girdle and lower limb	Gastric bypass and volume reduction	9568	244
Other malignant secondary hypertension	Other OR gastrointestinal therapeutic procedu	40509	099
Foreign body in nose	Gastric bypass and volume reduction	932	244
Foreign body in ear	Gastric bypass and volume reduction	931	244
Aftercare following surgery of the skin and subcutaneous tissue, NEC	Other aftercare	V5877	257
Other specified diseases of the jaws	Disorders of teeth and jaw	52689	136
Radiologic examination, spine, lumbosacral; two or three views	Other diagnostic radiology and related techni	72100	226
Aftercare following surgery of the genitourinary system, NEC	Other aftercare	V5876	257
XTRAOC MUS OP/DETACH NEC	Other extraocular muscle and orbit therapeuti	1519	021
Malignant neoplasm of other specified sites of stomach	Corneal transplant	1518	013
Exostosis of external ear canal	Other OR upper GI therapeutic procedures	38081	094
Malignant neoplasm of lesser curvature of stomach, unspecified	Corneal transplant	1515	013
betamethasone	Corneal transplant	1514	013
Malignant neoplasm of greater curvature of stomach, unspecified	Corneal transplant	1516	013
ONE EXTRAOC MUS RECESS	Other extraocular muscle and orbit therapeuti	1511	021
Malignant neoplasm of cardia	Corneal transplant	1510	013
Other disorders of external ear	Other OR upper GI therapeutic procedures	38089	094
Other forms of migraine, without mention of intractable migraine without mention of status migrainosus	Cholecystectomy and common duct exploration	34680	084
Other forms of migraine, with intractable migraine, so stated, without mention of status migrainosus	Cholecystectomy and common duct exploration	34681	084
Other forms of migraine, without mention of intractable migraine with status migrainosus	Cholecystectomy and common duct exploration	34682	084
Postmastoidectomy complication, unspecified	Other bowel diagnostic procedures	38330	092
Mucosal cyst of postmastoidectomy cavity	Other bowel diagnostic procedures	38331	092
Recurrent cholesteatoma of postmastoidectomy cavity	Other bowel diagnostic procedures	38332	092
Granulations of postmastoidectomy cavity	Other bowel diagnostic procedures	38333	092
Postlaminectomy syndrome, thoracic region	Arterial blood gases	72282	205
Other functional disorders of intestine	Arthrocentesis	56489	155
Postlaminectomy syndrome, lumbar region	Arterial blood gases	72283	205
Other eye problems	Peritoneal dialysis	V411	091
Open fracture of lower end of forearm, unspecified	Pathology	81350	234
Neurogenic bowel	Arthrocentesis	56481	155
Reflex sympathetic dystrophy, unspecified	Other non-OR lower GI therapeutic procedures	33720	095
Calcifying tendinitis of shoulder	Therapeutic radiology	72611	211
Problems with hearing	Other OR upper GI therapeutic procedures	V412	094
Twin pregnancy with fetal loss and retention of one fetus, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65131	195
